index	sentence	label
1259	Hydrocortisone may decrease the incidence of mortality associated with @Disease$ in children receiving @Chemical$ overdoses.	1
1260	BACKGROUND: Aspirin-exacerbated @Disease$ (AERD) is characterized by the development of airway obstruction in asthmatic individuals following the ingestion of @Chemical$ or other nonsteroidal anti-inflammatory drugs.	0
1261	Taking @Chemical$ increases bleeding risk that is not always outweighed by the potential benefits for patients with @Disease$ risk.	0
1262	"Gastric tumor, endometrial carcinoma and @Disease$ in situ were detected after treatment with @Chemical$ for breast cancer."	1
1263	Early @Disease$ with @Chemical$ due to a genetic polymorphism of cytochrome P450 CYP2C9.	1
1264	CONCLUSION : @Chemical$ led to nodular scleritis and rechallenge caused recurrence of @Disease$.	1
1265	"@Chemical$ (acetylsalicylic acid)-induced asthma (AIA) consists of the clinical triad of asthma, chronic rhinosinusitis with nasal polyps, and precipitation of @Disease$ and rhinitis attacks in response to aspirin and other NSAIDs."	0
1266	"After extensive neurological' work up', we realized that the @Disease$ was related to the transdermal @Chemical$ patch that we had prescribed for weaning off the opioid."	1
1267	We report the case of a patient who after a minor fall developed a subdural @Disease$ requiring craniotomy that likely was precipitated by concomitant use of high-dose @Chemical$ 6 g/day with both aspirin and warfarin.	0
1268	Possible interaction between @Chemical$ / ritonavir and valproic Acid exacerbates @Disease$.	1
1269	@Disease$ to intrathecal @Chemical$.	1
1270	BACKGROUND: @Chemical$ is commonly prescribed for first-line symptomatic treatment in patients with @Disease$ and aspirin is often co-administered for cardiovascular prophylaxis.	0
1271	@Disease$ following @Chemical$ administration.	1
1272	"CASE PRESENTATION : Three cases of @Disease$ in @Chemical$ ( CS )-treated patients are reported : an isolated lingual leishmaniasis in a farmer treated with CS for asthma, a severe visceral leishmaniasis associated with cutaneous lesions in a woman with myasthenia gravis, and a visceral involvement after cutaneous leishmaniasis in a man receiving CS."	1
1273	@Disease$ and @Chemical$ are independent risk factors for hemorrhage in patients with gastric or duodenal ulcer.	0
1274	"Similarly, the use of non@Chemical$ nonsteroidal antiinflammatory drugs (NSAIDs), including cyclooxygenase (COX)-2 inhibitors, has also been shown to increase the risk of GI effects, and the concomitant use of aspirin and nonaspirin NSAIDs can significantly increase the risk of @Disease$."	0
1275	@Disease$ were temporally related to the administration of the antitumor antibiotics actinomycin-D ( NSC-3053 ) and @Chemical$ ( NSC-24559 ).	1
1276	"During the first days of @Chemical$ treatment a rapid @Disease$ was seen ( normal values reached until day 7 ), together with a slight decrease in peripheral blood leukocytes."	1
1277	"CONCLUSIONS: Considering that human lung mast cells are capable of producing LTC4, @Chemical$, and histamine, our present results support the concept that mast cells, at least, may participate in the development of aspirin-induced @Disease$."	0
1278	Effect of atorvastatin and pravastatin on platelet inhibition by @Chemical$ and clopidogrel treatment in patients with coronary stent @Disease$.	0
1279	"CASE REPORT: A 58-year-old Caucasian male with a history of @Disease$ and hypercholesterolemia, under treatment with acetyl-@Chemical$ for 6 years and simvastatin for 2 months, presented to the Emergency Department of our hospital with epigastric pain and vomiting of 24-hour duration."	0
1280	"In the desensitized @Disease$ group, cytokine and @Chemical$ measurements were repeated after 1-month aspirin treatment."	0
1281	"Although the disease is clinically well characterized, its physiopathology is incompletely understood and noninvasive procedures, allowing an effective distinction between @Chemical$-induced asthma (AIA) and aspirin-tolerant @Disease$ (ATA) are missing."	0
1282	"The patient was positive for antibody against complexes of heparin and platelet factor 4, and was diagnosed as @Chemical$-induced @Disease$ with thrombosis syndrome ( HITTS )."	1
1283	"Using an in vivo model of laser-induced thrombosis, @Chemical$ injected in 1 single dose of 100 mg/kg body weight has also shown a pro@Disease$ activity in the rat 8 to 10 days after injection in the normal rat."	0
1284	"CASE REPORT: A 58-year-old Caucasian male with a history of coronary heart disease and hypercholesterolemia, under treatment with acetyl-salicylate for 6 years and @Chemical$ for 2 months, presented to the Emergency Department of our hospital with epigastric pain and @Disease$ of 24-hour duration."	0
1285	Provocation of @Disease$ by @Chemical$ in three adolescent patients.	1
1286	"WHAT THE READER WILL GAIN: Aspirin-induced @Disease$ can be reduced, and a number of strategies can be implemented to shift the risk-benefit ratio in favour of @Chemical$."	0
1287	@Disease$ neutrophilic skin lesions were observed in two children receiving @Chemical$ ( G-CSF ) for treatment of idiopathic neutropenia.	1
1288	"Cyto@Disease$ was evaluated by cell viability, anti-oxidant enzyme activities, @Chemical$ (MDA) production and by the expression of MAPKs (Mitogen-Activated Protein Kinases) pathways."	0
1289	"We included participants with headache at t0, @Chemical$ intake, ASA++ or no analgesics at t0 and t2, and known @Disease$ frequency."	0
1290	"Though physicians treating large populations of patients with HIV are well aware of this complication, only one other report of @Chemical$-associated @Disease$ has been documented in the dermatology literature."	1
1291	"CASE SUMMARY : A 65-year-old patient chronically treated with the selective serotonin reuptake inhibitor ( SSRI ) citalopram developed @Disease$, agitation, tachycardia, tremors, myoclonic jerks and unsteady gait, consistent with serotonin syndrome, following initiation of @Chemical$, and all symptoms and signs resolved following discontinuation of fentanyl."	1
1292	"Although @Chemical$ is prescribed for a broad range of diseases, it can induce a wide array of clinically recognized hypersensitivity reactions, including aspirin-intolerant asthma (AIA) with @Disease$ and aspirin-intolerant urticaria (AIU) with anaphylaxis."	0
1293	Early @Disease$ signs were present among 10.9% of @Chemical$ users and 4.9% of non-aspirin users (p&lt;0.001).	0
1294	Cholelithiasis and @Disease$ in a renal transplant recipient treated with @Chemical$.	1
1295	"Subsequent in vivo / vitro studies clearly demonstrated that the @Disease$ were due to a synergistic action of @Chemical$ and prochlorperazine, probably resulting in exceptional fluxes of intra / extra cellular iron / copper disturbing noradrenergic and serotonergic systems."	1
1296	@Chemical$-sensitive @Disease$ (ASRD) is a condition characterized by persistent and often severe inflammation of the upper and lower respiratory tracts.	0
1297	@Disease$ to @Chemical$ is a rare but real complication of therapy and should be considered in patients presenting with hyperacute changes on ECG whilst receiving carboplatin therapy.	1
1298	"It was hypothesized that @Chemical$ may interfere with glucuronidation of lamotrigine, leading to increased serum lamotrigine levels, or perhaps alter the drug's metabolism, resulting in @Disease$."	1
1299	"CONCLUSION: Our results demonstrate that exercise and @Chemical$ augment clinical reactions in WDEIA by lowering the threshold and increase the severity of the @Disease$, whereas alcohol gives ambiguous results."	0
1300	"In the presence of sufficient amounts of gastric acid, H. pylori infection and aspirin could synergistically damage gastric mucosal integrity, while in the absence of sufficient amounts of gastric acid, the synergistic effect could be completely counteracted and the @Disease$ could even suppress the @Chemical$-induced gastropathy."	0
1301	@Disease$ during treatment with cisplatin and @Chemical$ combination.	1
1302	BACKGROUND: Dual antiplatelet therapy with @Chemical$ and a P2Y12 inhibitor is the cornerstone for prevention @Disease$ events in patients with acute coronary syndromes (ACS) and undergoing percutaneous coronary intervention.	0
1303	"This @Disease$ was not relieved by taking etizolam and flunitrazepam again, but subsided rapidly by the re-administration of @Chemical$ 30 mg / day, and because of that the depressive symptom also disappeared."	1
1304	The study also documented that @Chemical$ users decreased the risk of fatal @Disease$ by 15%.	0
1305	AIM: The aim of this study was to examine the genotypes of RAS genes related to the risk of peptic ulcer and ulcer @Disease$ among patients taking low dose @Chemical$.	0
1306	"We hypothesized that platelet transfusion would improve @Chemical$-induced, but not @Disease$-induced, platelet dysfunction."	0
1307	"Hypoglycemia can be a serious side effect of etanercept in patients already on antidiabetic medications known to cause @Disease$, such as sulfonylureas, @Chemical$, and insulin."	1
1308	"METHODS: The frequencies of all and GI adverse events (AEs) and adverse drug reactions (ADRs) were calculated from the pooled individual patient data of nine similar randomized, double-blind, placebo controlled clinical trials of single-doses of @Chemical$ 1000 mg in the treatment of acute @Disease$, episodic tension-type headache and dental pain."	0
1309	"Both had @Disease$ and abnormal computed tomographic scans, and their condition improved when @Chemical$ was withdrawn and corticosteroid treatment commenced."	1
1310	The diagnosis of @Disease$ was subsequently confirmed by an inadvertent @Chemical$ challenge which led to a serious adverse asthma outcome.	0
1311	"We searched MEDLINE for studies of @Chemical$ use and @Disease$ risk that were published in any language, from January 1, 1966, to July 1, 2011."	0
1312	"Infants are particularly susceptible to chronic @Chemical$-induced @Disease$ because of their low stomach acid production, large numbers of nitrite-reducing bacteria, and the relatively easy oxidation of fetal hemoglobin."	1
1313	The duration of nasal @Disease$ was 10 +/- 10 years (range 0.5-30 years): PP-- 10 +/- 9; A-- 14 +/- 11; @Chemical$-- 7 +/- 7 (A/ASA-- p = 0.045).	0
1314	CONCLUSION: Aspirin desensitization following @Chemical$ appears to be a well-tolerated and effective adjunctive therapy for long-term control of @Disease$ in patients with AERD.	0
1315	CONCLUSIONS : @Chemical$ overdose can be @Disease$ in children and infants.	1
1316	"However, as discontinuation of aspirin, unlike NSAIDs, may precipitate @Disease$ and cerebrovascular events, treatment of aspirin-associated ulcers should re-start @Chemical$ as soon as possible, using proton pump inhibitor (PPI)."	0
1317	@Disease$ is a serious complication of aspirin and @Chemical$ ( dual ) anti-platelet therapy with a high morbidity and mortality.	1
1318	CONTEXT : Previous investigators have reported @Disease$ to @Chemical$ among patients with chronic myeloid leukemia ( CML ).	1
1319	Probable early @Disease$ with parenteral @Chemical$.	1
1320	"In patients with a known access to INH, @Disease$ should be considered to be caused by @Chemical$ toxicity unless proved otherwise."	1
1321	Case report of withdrawal @Disease$ associated with @Chemical$.	1
1322	@Disease$ acute @Chemical$ intoxication in a child.	1
1323	The risk of readmission resulting from bleeding and @Disease$ (VTE) has also not been determined for patients undergoing @Chemical$ or TKA when treated with low-molecular-weight heparin (LMWH) alone compared with mechanical prophylaxis plus aspirin (ASA).	0
1324	"The important factors that increase the risk of low-dose aspirin-related ulcer complications include a history of bleeding peptic ulcer, prior peptic ulcer, age &gt; 70 years, @Disease$, and concomitant drug therapy with non-steroidal anti-inflammatory drugs, other antiplatelet agents (e.g., @Chemical$) or anticoagulants."	0
1325	"However, there is cross-reactivity between the NSAIDs in patients with NSAID-exacerbated @Disease$ and NIUA, and thus only use of selective COX-2 inhibitors can replace the culprit drug if the chronic treatment is necessary, although @Chemical$ desensitization will allow for chronic treatment with NSAIDs in some patients with NIUA."	0
1326	OBJECTIVE: To address the hypothesis that expression of 1 or more EP receptors on nasal mucosal inflammatory cells is deficient in patients with @Chemical$-sensitive compared with nonaspirin-sensitive polypoid @Disease$.	0
1327	"CONCLUSION: In our study, @Disease$ was found in all the patients with stable coronary artery disease, without any association of its presence and severity with @Chemical$ resistance."	0
1328	"Rapamycin / sirolimus ( @Chemical$ ), trade named Rapammune ( Wyeth-Ayerst, Sydney, Australia ), is a potent immunosuppressive drug associated with @Disease$, hypertension, hyperlipidemia, and infection."	1
1329	"OBJECTIVE: We evaluated hourly dose escalations in a subset of patients with @Disease$, nasal polyps, and asthma who historically reacted to aspirin within 1 hour or were avoiding @Chemical$ with the goal of developing a safe and efficient desensitization protocol."	0
1330	"The aim of the study was to assess the antiplatelet activity and safety of a combined antiplatelet treatment with @Chemical$ and clopidogrel in acute coronary syndrome (ACS) patients with @Disease$ to aspirin, undergoing coronary stenting."	0
1331	@Disease$ associated with 5-fluorouracil and @Chemical$ combined chemotherapy.	1
1332	"METHODS: Of 271 patients suspected by history of having @Disease$, 96 were taking @Chemical$-LT receptor antagonists (cys-LTRAs) and 12 were taking zileuton at the time of oral ASA challenges."	0
1333	"It is, therefore, currently not clear whether the @Disease$ severity or the presence of AERD has a primary role in the disturbed @Chemical$ metabolism."	0
1334	"Although @Chemical$ withdrawal has been previously reported and usually consists of anxiety, diaphoresis, and @Disease$, this is the first reported patient with generalized seizures and status epilepticus secondary to gabapentin withdrawal."	1
1335	@Chemical$-induced @Disease$ : clinical and theoretical implications.	1
1336	Thrombotic microangiopathy with @Disease$ in two patients undergoing @Chemical$ chemotherapy.	1
1337	"METHOD : We describe two patients who presented with @Disease$ after treatment with quetiapine and @Chemical$, respectively."	1
1338	It is concluded that simultaneous administration of ciprofloxacin and tazobactam / @Chemical$ may cause marked @Disease$.	1
1339	Previous @Disease$ history was identified as a risk factor for peptic ulcer and upper gastrointestinal bleeding during low-dose @Chemical$ therapy.	0
1340	"Significantly more dog-days of @Disease$ occurred in the prednisone and @Chemical$ group during treatment, compared with baseline."	0
1341	There is no consensus to stop @Chemical$ therapy before interventional chronic @Disease$ procedures.	0
1342	There have been more than 20 observations of the appearance or aggravation of this @Disease$ with interferon alfa and more recently with the combination of @Chemical$ plus ribavirin.	1
1343	"In subgroup analysis, aspirin use was associated with renal failure in the patients with no history of stroke (HR, 1.41; 95% CI, 1.14-1.73), and there was a borderline interaction between previous @Disease$ and the use of @Chemical$ on renal failure (interaction p=0.0565)."	0
1344	"Four weeks earlier she had developed @Disease$ during a regimen of @Chemical$, lynestrenol and sodium valproate."	1
1345	We present a unique case of @Disease$ in a patient with myeloma following treatment with @Chemical$.	1
1346	We report a case of @Disease$ associated with @Chemical$ therapy but no evidence of hemorrhagic or thrombotic cerebrovascular events.	1
1347	"This article reviews chronic rhinosinusitis with and without nasal polyps, and the subgroup with @Chemical$-exacerbated respiratory disease, while focusing on the relationship with @Disease$."	0
1348	"An increased excretion of LTE4 and 9alpha,@Chemical$ has been detected in a patient who suffered an @Disease$ attack after percutaneous administration of nonsteroidal anti-inflammatory drugs."	0
1349	We report four cases of encephalopathy coincident with @Disease$ as well as one patient who developed seizures while receiving continuous bladder irrigations with @Chemical$.	1
1350	@Chemical$ ( Ritalin )-associated @Disease$ and glaucoma.	1
1351	"These complications are mainly attributable to NSAIDs and @Chemical$, which can injure the mucosa anywhere along the @Disease$."	0
1352	"A randomized, double-blind, placebo-controlled study of @Chemical$ for @Disease$ taking aspirin with or without clopidogrel."	0
1353	"The median intraoperative blood loss (600 ml versus 450 ml, P = 0.56), median postoperative blood loss (800 ml versus 790 ml, P = 0.60), blood transfusion requirements (25.1% versus 24.4%, P = 0.76) and composite outcome of in-hospital death, @Disease$ and reoperation for bleeding (2.8% versus 1.6%, P = 0.10) were similar in aspirin and non@Chemical$ use group."	0
1354	"The authors present an elderly patient with mixed dementia who developed TD at multiple sites, ( including respiratory dyskinesia [ RD ], limb dyskinesia, and @Disease$ ) following abrupt withdrawal of @Chemical$ therapy."	1
1355	@Chemical$-induced @Disease$ with Beau's lines.	1
1356	"We report the case of a 59-year-old female with @Disease$, admitted to the coronary care unit for acute inferior myocardial infarction and treated with tissue-type plasminogen activator 100 mg in 90 min, intravenous @Chemical$ 25,000 U, aspirin 100 mg, and metoprolol 50 mg orally once daily."	0
1357	"The patients with @Chemical$-sensitive @Disease$ require often prolonged oral, inhaled and nasal corticotherapy."	0
1358	"We consider @Disease$ to be an easily overlooked sign of neurotoxicity, which may occur even at low or moderate dosage levels, if certain drugs as @Chemical$ or clozapine are used in combination with CBZ."	1
1359	"In this study, we investigated whether the responsiveness of eosinophils and monocytes to @Chemical$ and EP4 receptor activation is altered in @Disease$ patients."	0
1360	"A 36-year-old man being treated with @Chemical$, vinblastine, and bleomycin for testicular carcinoma developed a dense @Disease$, encephalopathy, and a partial nondominant parietal lobe syndrome."	1
1361	OBJECTIVE: Low-dose aspirin (@Chemical$) is widely used because it reduces the risk of vascular events in patients with @Disease$.	0
1362	@Chemical$-induced @Disease$ is usually identical to sporadic autoimmune hepatitis.	1
1363	BACKGROUND: The role of @Chemical$ metabolites in NSAID-induced hypersensitivity has been studied in depth for NSAID-exacerbated @Disease$ (NERD) and NSAID-exacerbated cutaneous disease (NECD).	0
1364	"CONCLUSIONS : Among the many presentations of @Chemical$ @Disease$, clinicians should consider NCSE as a possible explanation for changes in consciousness in a patient receiving this agent."	1
1365	We describe @Disease$ in a 32 year old hypertensive woman following the introduction of @Chemical$ treatment.	1
1366	"Upon discontinuation of @Chemical$, her @Disease$ resolved, and her arthritis became more active."	1
1367	"A female patient with HER2 positive, metastatic breast cancer presented with @Disease$, and a plural effusion dyspnoea after several months of @Chemical$ treatment."	1
1368	"The first patient is undergoing hemodialysis and, though responding to @Chemical$, is having significant @Disease$ and hypertension."	1
1369	"RESULTS: Interaction analyses indicated that of all subgroups, only patients with serum @Chemical$ &gt; 1.3 mg/dl had a significantly greater reduction of cardiovascular events and @Disease$ (-13 and -7/1000 patient-years), while risk of bleeding was not significantly different between subgroups."	0
1370	@Disease$ developed in a young woman 8 weeks after the initiation of @Chemical$ for treatment of pelvic endometriosis.	1
1371	"When SASP was changed to @Chemical$ ( 5-ASA ), his skin eruptions were resolved, however, he developed weakness and atrophy in his right arm as well as progressive worsening of the dysesthesia in his legs and @Disease$."	1
1372	"We postulate that @Chemical$, possibly together with ganciclovir, can produce @Disease$ with eye movement abnormality in occasional patients."	1
1373	We divided the study into two phases: phase one (125 patients) where @Chemical$ was used without restrictions and phase two (110 patients) where aspirin was avoided in severe @Disease$ and primary prevention.	0
1374	@Chemical$-related @Disease$ in a patient with chronic myeloid leukaemia and chronic hepatitis B infection.	1
1375	@Chemical$-induced recurrence of @Disease$ ten years after thyroidectomy in chronic viral hepatitis C.	1
1376	@Disease$ after @Chemical$ administration in preterm labour.	1
1377	"A 7-year-old boy developed a @Disease$ at the age of 5 years ( @Chemical$ therapy ); 1.5 years later valproate ( 2-propylpentanoic acid, VPA ) was added to the therapy."	1
1378	A @Disease$ occurred a few minutes after injection of the morphine antagonist @Chemical$.	1
1379	Meta-analysis on the effect of @Chemical$ use for prevention of preeclampsia on placental abruption and antepartum @Disease$.	0
1380	@Disease$ during @Chemical$ and ribavirin treatment of hepatitis C virus infection : two cases.	1
1381	"We found 95 cases (9.44% of the study group) of @Chemical$ intolerance, including 23 of the 75 patients with severe @Disease$ (30.67%; OR = 5.44)."	0
1382	"With the use of optical coherence tomography ( OCT ), two patients with IFN-associated retinopathy who had developed macular edema and @Disease$ during the clinical course of @Chemical$ therapy were observed."	1
1383	"Available evidence suggests that where aspirin and/or @Chemical$ are to be started or continued in patients with a recent history of UGI ulceration or bleeding (after @Disease$ and eradication of H. pylori infection), treatment with a PPI is a useful precaution."	0
1384	"BACKGROUND: @Chemical$ is often used in patients with @Disease$, but it can also cause gastrointestinal complications."	0
1385	@Disease$ after high dose @Chemical$.	1
1386	@Chemical$-exacerbated cutaneous disease (AECD) is a distinct subphenotype of chronic spontaneous @Disease$.	0
1387	Six days after starting @Chemical$ she exhibited signs of @Disease$.	1
1388	"A 64 year old man with recurrent metastatic squamous cell carcinoma of the head and neck developed severe skin rash and @Disease$ 4 and 7 days, respectively, following a single dose of 40 mg / m2 methotrexate ( @Chemical$ )."	1
1389	"CONCLUSIONS: In this observational study, aspirin use was not associated with an increase in mortality rates or HF readmission rates, and aspirin did not attenuate the benefits of ACE inhibitors, even in patients without @Disease$, patients with renal dysfunction, or patients treated with high-dose @Chemical$ and low-dose ACE inhibitors."	0
1390	@Disease$ in a patient with pemphigus vulgaris induced by the use of @Chemical$ and prednisone.	1
1391	"More interestingly, regression analysis of the decline of forced expiratory volume in one second (FEV(1)) by @Chemical$ provocation revealed that 10 SNPs (P = 0.003-0.04) and four relevant haplotypes (P = 0.002-0.02) were significantly associated with the fall rate of FEV(1) by aspirin provocation, indicating that genetic polymorphisms of EMID2 could cause meaningful deficits in the upper and lower airways among @Disease$ patients."	0
1392	The experiments results indicated that @Chemical$ group has visible @Disease$ and lesions while aspirin + PNS group have not.	0
1393	@Chemical$ therapy in aspirin-exacerbated @Disease$: a risk-benefit analysis for the practicing allergist.	0
1394	"After discontinuing @Chemical$ and starting systemic steroids, her symptomatology rapidly improved, and her eosinophilia and @Disease$ both resolved."	1
1395	We describe a patient with acute leukemia who developed Horner's syndrome and a severe demyelinating peripheral neuropathy leading to @Disease$ after receiving high-dose @Chemical$.	1
1396	"After administration of @Chemical$ concomitantly with an increase in the dose of Dantrolene, she presented the clinical symptoms and laboratory finding of @Disease$."	1
1397	"@Chemical$ inhibits the conversion of tryptophan to niacin and may induce @Disease$, particularly in poorly nourished patients."	1
1398	"Rapamycin / sirolimus ( @Chemical$ ), trade named Rapammune ( Wyeth-Ayerst, Sydney, Australia ), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and @Disease$."	1
1399	"@Chemical$ ( Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland ) may cause irritation of the skin, whereas @Disease$ are less common."	1
1400	"We have seen a case of terminal malignant melanoma in which clinical manifestations, indicative of @Disease$, developed following the injection of 0.3 ml of 10 % @Chemical$ into the cervical subarachnoid space at the C4--C5 level for the control of severe right arm pain."	1
1401	Graves' hyperthyroidism following @Disease$ during @Chemical$ therapy for chronic hepatitis type C.	1
1402	Perfusion of the stomach with acidified @Chemical$ or ASA under histamine-stimulated acid secretion caused minimal @Disease$ in the stomach with few lesions.	0
1403	"Recent evidence showed that among patients with a history of @Chemical$-associated ulcer @Disease$, the long-term incidence of recurrent bleeding with ASA use is low after eradication of H. pylori alone."	0
1404	A positive ASST was defined as an @Disease$ wheal with a diameter of &gt; 5 mm more than the @Chemical$-induced response.	0
1405	The @Disease$ of three patients and the timing of the seizures implicate accumulation of @Chemical$ as a contributing factor.	1
1406	Marked QT prolongation and @Disease$ secondary to acute ischemia in an elderly man taking @Chemical$ for atrial fibrillation : a cautionary tale.	1
1407	@Chemical$ and dextroamphetamine-induced @Disease$.	1
1408	The development of cutaneous ecchymosis associated with a sudden fall in hemoglobin after the administration of @Chemical$ should strongly suggest the possibility of @Disease$.	1
1409	"Although precipitation of @Disease$ attacks by ingestion of ASA and other NSAIDs is considered a hallmark of the syndrome, the respiratory mucosal inflammatory disease process begins and continues in the absence of ongoing or even intermittent exposure to @Chemical$ or NSAIDs."	0
1410	"Urinary @Chemical$, plasma tryptase and cytokine levels, platelet-leukocyte aggregates, and granulocyte transcripts were assessed.Measurements and Main Results: Eight weeks of high-dose aspirin decreased nasal symptoms and urinary prostaglandin E metabolite (P &lt; 0.05) and increased urinary leukotriene E4 (P &lt; 0.01) levels in subjects with aspirin-exacerbated respiratory disease, but not in those with aspirin-tolerant @Disease$."	0
1411	Effect of misoprostol on patients with @Chemical$-exacerbated @Disease$ undergoing aspirin challenge and desensitization.	0
1412	"In addition, the haplotypes of CCC (-1031T &gt; C, -863C &gt; A, and -857C &gt; T) markedly reduced the risk of @Chemical$-induced UGIB in @Disease$ patients."	0
1413	Muscle biopsy revealed @Disease$ and few vacuolated fibers which were features of @Chemical$-induced myopathy.	1
1414	"Case 1, a 62-year-old woman, developed bilateral optic neuritis with @Disease$ and increased deep tendon reflex in the lower extremities after a seven-month use of @Chemical$ for chronic active hepatitis C."	1
1415	"BACKGROUND: Aspirin (acetylsalicylic acid [@Chemical$]) hypersensitivity is frequent in patients with @Disease$ (NPs) and is called aspirin exacerbated respiratory disease, previously known as Samter's syndrome."	0
1416	@Disease$ from a falx meningioma after internal use of low-dose @Chemical$.	1
1417	OBJECTIVE: To investigate the relationship between @Chemical$ resistance and clinical and neuroimaging measures of @Disease$ severity in acute stroke patients.	0
1418	"Also in patients with @Disease$, @Chemical$ should be withdrawn prior to the operation."	0
1419	@Disease$ induced by @Chemical$ in a patient with hypoparathyroidism.	1
1420	"BACKGROUND : @Chemical$ ( IFN )-associated retinopathy is typically characterized by @Disease$ and cotton wool spots at the posterior fundus, but visual function is usually maintained."	1
1421	We report a case of @Disease$ three weeks following the administration of @Chemical$ for the treatment of Crohn's disease ( CD ).	1
1422	"Chronic users of NSAIDs or aspirin co-treated with proton pump inhibitors had a lower risk of @Disease$ (OR 1.12, 95% CI 0.21-6.07) than those treated with @Chemical$ (OR 1.91, 95% CI 0.33-10.9) or H2 blockers (OR 2.26, 95% CI 0.81-6.36)."	0
1423	OBJECTIVE : To report a case of @Disease$ ( LABD ) induced by @Chemical$.	1
1424	"BACKGROUND AND PURPOSE: @Chemical$ early after intravenous thrombolysis in acute @Disease$ increases the risk of symptomatic intracranial hemorrhage (SICH), without influencing functional outcome at 3 months."	0
1425	Our case points to the need for increased awareness by the general pediatricians of the @Disease$ of @Chemical$ use for chronic constipation.	1
1426	Early peritoneal dialysis has not previously been reported for @Chemical$ induced @Disease$.	1
1427	Reversible @Chemical$-associated @Disease$ resembling advanced gastric cancer in a patient with rheumatoid arthritis.	1
1428	"@Chemical$-exacerbated respiratory disease (AERD) is a distinct clinical condition characterized by chronic sinusitis with nasal polyps, asthma, and @Disease$ reactions to nonsteroidal anti-inflammatory drugs (NSAIDs)."	0
1429	"Currently the use of @Chemical$ is one of the few specific measures available, and as a potentially @Disease$ and fetotoxic agent, any decision for its use requires evaluation of the potential for fetal damage."	1
1430	"While the mechanism of @Chemical$-associated @Disease$ remains unsolved, plasma exchange seems to be effective therapy."	1
1431	Onset of male @Disease$ in a patient treated with @Chemical$ for metastatic renal cell carcinoma.	1
1432	"Here we describe a patient with Crohn's disease who developed a severe @Chemical$ infusion reaction ( @Disease$ ), complicated 1 day later by severe swelling of the forearm and hand ipsilateral to the site of infliximab infusion."	1
1433	over the past 3 years there have been several reports of @Disease$ associated with @Chemical$ therapy.	1
1434	CONCLUSION: Frequent use of NSAIDs but not @Chemical$ seemed to be associated with increased absolute incidence of @Disease$ and UC.	0
1435	We report a case of @Disease$ clearly linked to intravenous and intraperitoneal administration of @Chemical$.	1
1436	"We collected data on the use of warfarin at implantation, INR prior to device implantation, use of dual-antiplatelet therapy (DAPT), such as concomitant @Chemical$ and clopidogrel and subsequent formation of @Disease$ in the peri-procedure period."	0
1437	"DISCUSSION : Patients with @Chemical$-induced @Disease$ experience tender, red, scaled lids, making contact lens wear difficult."	1
1438	A review of the literature revealed two other cases of @Disease$ in patients after long-term @Chemical$ treatment.	1
1439	"We describe a patient with transitional cell carcinoma of the renal pelvis who developed respiratory dysfunction and an @Disease$ while on chemotherapy with @Chemical$, a methotrexate analog."	1
1440	We report on a patient with an embryonal teratocarcinoma of the testicle who had the syndrome of @Disease$ after receiving a high dose of @Chemical$.	1
1441	"RESULTS: Seventeen patients with isolated @Disease$ were enrolled, twelve taking @Chemical$ and five not taking aspirin."	0
1442	There are no previous reports in the literature about the emergence of @Disease$ during treatment with @Chemical$.	1
1443	Combining @Chemical$ and Chinese herbal drugs might carry a risk of @Disease$.	1
1444	"Thus, the lack of evidence of benefit with aspirin in patients with @Disease$ and coronary disease, along with growing evidence that @Chemical$ is directly harmful in patients with heart failure and that aspirin may negate the benefits of angiotensin-converting enzyme inhibitors suggest that, unless there is an opportunity to randomize the patient into a study of antithrombotic strategies, then aspirin should be withdrawn or possibly substituted with an anticoagulant or an antiplatelet agent that does not block cyclooxygenase."	0
1445	"The antithrombotic treatment actually ongoing at major @Disease$ was @Chemical$ in 44%, DT in 50%, and DAPT in 6% of cases."	0
1446	Aspirin resistance could be defined as @Disease$ and embolic cardiovascular events despite regular @Chemical$ therapy.	0
1447	AIM : To report a patient with diabetic rubeosis who suffered from @Disease$ and stroke after intravitreal injection of @Chemical$.	1
1448	We described the occurrence of @Chemical$-induced @Disease$ and seizures in a case of parkinsonism with its SEPs findings.	1
1449	@Disease$ following accidental intra-arterial injection of dissolved @Chemical$ tablets.	1
1450	"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, @Disease$, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim ( TMP )-@Chemical$ ( SMX ) treatment."	1
1451	"In the present study, endoscopic examination was performed to investigate the frequency of gastroduodenal injuries associated with low-dose @Chemical$ in patients with @Disease$."	0
1452	"AREAS COVERED IN THIS REVIEW: A number of risk factors can be used to determine which patients are more likely to develop @Chemical$-associated GI bleeding, mainly in the upper GI tract; these include a previous GI ulcer, @Disease$, dyspepsia, and concomitant drug therapy with non-steroidal anti-inflammatory drugs (NSAIDs) or clopidogrel."	0
1453	"Here, we describe a patient who suffered from a split-thickness leg burn after applying a self-inflicted mixture consisting of white vinegar and @Chemical$ prepared for knee @Disease$."	0
